FONTS.md	FONTS	/		658	
佛藏/乾隆藏/大乘五大部外重译经/佛说最无比经.md	佛说最无比经	/佛藏/乾隆藏/大乘五大部外重译经		13560	
佛藏/乾隆藏/大乘五大部外重译经/佛说月光童子经.md	佛说月光童子经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	13242	cbeta:T0534;kanripo:KR6i0164/CBETA|KR6i0164/T|KR6i0164/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说未曾有经.md	佛说未曾有经	/佛藏/乾隆藏/大乘五大部外重译经		5232	cbeta:T0688;kanripo:KR6i0378/CBETA|KR6i0378/T|KR6i0378/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说校量数珠功德经.md	佛说校量数珠功德经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]宝思惟	3361	cbeta:T0788;kanripo:KR6i0492/CBETA|KR6i0492/T|KR6i0492/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说正恭敬经.md	佛说正恭敬经	/佛藏/乾隆藏/大乘五大部外重译经	[元魏]佛陀扇多	7964	cbeta:T1496;kanripo:KR6k0118/CBETA|KR6k0118/T|KR6k0118/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说济诸方等学经.md	佛说济诸方等学经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	22738	cbeta:T0274;kanripo:KR6d0116/CBETA|KR6d0116/T|KR6d0116/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说浴像功德经.md	佛说浴像功德经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]宝思惟	4996	cbeta:T0697;kanripo:KR6i0387/CBETA|KR6i0387/T|KR6i0387/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说灌佛经.md	佛说灌佛经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]沙门释法炬	3127	
佛藏/乾隆藏/大乘五大部外重译经/佛说灌洗佛经.md	佛说灌洗佛经	/佛藏/乾隆藏/大乘五大部外重译经		5160	
佛藏/乾隆藏/大乘五大部外重译经/佛说犊子经.md	佛说犊子经	/佛藏/乾隆藏/大乘五大部外重译经	[吴]支谦	3143	cbeta:T0808;kanripo:KR6i0514/CBETA|KR6i0514/T|KR6i0514/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说甚希有经.md	佛说甚希有经	/佛藏/乾隆藏/大乘五大部外重译经		7962	
佛藏/乾隆藏/大乘五大部外重译经/佛说申日儿本经.md	佛说申日儿本经	/佛藏/乾隆藏/大乘五大部外重译经		4605	
佛藏/乾隆藏/大乘五大部外重译经/佛说盂兰盆经.md	佛说盂兰盆经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	3757	cbeta:T0685;kanripo:KR6i0364/CBETA|KR6i0364/T|KR6i0364/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说睒子经.md	佛说睒子经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]圣坚	9385	cbeta:T0175b|T0175c;kanripo:KR6b0028/CBETA|KR6b0028/T|KR6b0029/CBETA|KR6b0029/T
佛藏/乾隆藏/大乘五大部外重译经/佛说称赞如来功德神咒经.md	佛说称赞如来功德神咒经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]义净	4845	
佛藏/乾隆藏/大乘五大部外重译经/佛说稻秆经.md	佛说稻秆经	/佛藏/乾隆藏/大乘五大部外重译经		15075	
佛藏/乾隆藏/大乘五大部外重译经/佛说第一义法胜经.md	佛说第一义法胜经	/佛藏/乾隆藏/大乘五大部外重译经		21288	
佛藏/乾隆藏/大乘五大部外重译经/佛说缘生初胜分法本经.md	佛说缘生初胜分法本经	/佛藏/乾隆藏/大乘五大部外重译经		34238	
佛藏/乾隆藏/大乘五大部外重译经/佛说缘起圣道经.md	佛说缘起圣道经	/佛藏/乾隆藏/大乘五大部外重译经		7326	
佛藏/乾隆藏/大乘五大部外重译经/六度集经.md	六度集经	/佛藏/乾隆藏/大乘五大部外重译经		239517	cbeta:T0152;kanripo:KR6b0001/CBETA|KR6b0001/T|KR6b0001/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说老女人经.md	佛说老女人经	/佛藏/乾隆藏/大乘五大部外重译经	[吴]支谦	3662	cbeta:T0559;kanripo:KR6i0191/CBETA|KR6i0191/T|KR6i0191/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说老母女六英经.md	佛说老母女六英经	/佛藏/乾隆藏/大乘五大部外重译经	[刘宋]求那跋陀罗	2350	cbeta:T0560;kanripo:KR6i0192/CBETA|KR6i0192/T|KR6i0192/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说老母经.md	佛说老母经	/佛藏/乾隆藏/大乘五大部外重译经		3513	cbeta:T0561;kanripo:KR6i0193/CBETA|KR6i0193/T|KR6i0193/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说腹中女听经.md	佛说腹中女听经	/佛藏/乾隆藏/大乘五大部外重译经	[北凉]昙无谶	5002	cbeta:T0563;kanripo:KR6i0195/CBETA|KR6i0195/T|KR6i0195/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说自誓三昧经.md	佛说自誓三昧经	/佛藏/乾隆藏/大乘五大部外重译经	[后汉]安世高	12784	cbeta:T0622;kanripo:KR6i0259/CBETA|KR6i0259/T|KR6i0259/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说花聚陀罗尼咒经.md	佛说花聚陀罗尼咒经	/佛藏/乾隆藏/大乘五大部外重译经		4505	
佛藏/乾隆藏/大乘五大部外重译经/佛说菩萨修行四法经.md	佛说菩萨修行四法经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]地婆诃罗	2194	cbeta:T0773;kanripo:KR6i0470/CBETA|KR6i0470/T|KR6i0470/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说观弥勒菩萨下生经.md	佛说观弥勒菩萨下生经	/佛藏/乾隆藏/大乘五大部外重译经		11751	
佛藏/乾隆藏/大乘五大部外重译经/佛说观药王药上二菩萨经.md	佛说观药王药上二菩萨经	/佛藏/乾隆藏/大乘五大部外重译经	[刘宋]疆良耶舍	29572	cbeta:T1161;kanripo:KR6j0383/CBETA|KR6j0383/T|KR6j0383/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说证契大乘经.md	佛说证契大乘经	/佛藏/乾隆藏/大乘五大部外重译经		53971	
佛藏/乾隆藏/大乘五大部外重译经/佛说诸法勇王经.md	佛说诸法勇王经	/佛藏/乾隆藏/大乘五大部外重译经	[刘宋]昙摩蜜多	29689	cbeta:T0822;kanripo:KR6i0528/CBETA|KR6i0528/T|KR6i0528/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说谤佛经.md	佛说谤佛经	/佛藏/乾隆藏/大乘五大部外重译经		11037	
佛藏/乾隆藏/大乘五大部外重译经/佛说象头精舍经.md	佛说象头精舍经	/佛藏/乾隆藏/大乘五大部外重译经	[隋]毗尼多流支	14602	cbeta:T0466;kanripo:KR6i0067/CBETA|KR6i0067/T|KR6i0067/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说象腋经.md	佛说象腋经	/佛藏/乾隆藏/大乘五大部外重译经	[刘宋]昙摩蜜多	27556	cbeta:T0814;kanripo:KR6i0520/CBETA|KR6i0520/T|KR6i0520/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说转有经.md	佛说转有经	/佛藏/乾隆藏/大乘五大部外重译经		3501	cbeta:T0576;kanripo:KR6i0208/CBETA|KR6i0208/T|KR6i0208/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说银色女经.md	佛说银色女经	/佛藏/乾隆藏/大乘五大部外重译经		10386	
佛藏/乾隆藏/大乘五大部外重译经/佛说阿阇世王经.md	佛说阿阇世王经	/佛藏/乾隆藏/大乘五大部外重译经	[后汉]支娄迦谶	88206	cbeta:T0626;kanripo:KR6i0263/CBETA|KR6i0263/T|KR6i0263/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说陀邻尼钵经.md	佛说陀邻尼钵经	/佛藏/乾隆藏/大乘五大部外重译经	[东晋]竺昙无兰	3982	
佛藏/乾隆藏/大乘五大部外重译经/佛说龙施菩萨本起经.md	佛说龙施菩萨本起经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	7540	cbeta:T0558;kanripo:KR6i0190/CBETA|KR6i0190/T|KR6i0190/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛顶最胜陀罗尼经.md	佛顶最胜陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]地婆诃罗	27603	cbeta:T0969;kanripo:KR6j0146/CBETA|KR6j0146/T|KR6j0146/TKD
佛藏/乾隆藏/大乘五大部外重译经/入定不定印经.md	入定不定印经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]义净	25767	cbeta:T0646;kanripo:KR6i0283/CBETA|KR6i0283/T|KR6i0283/TKD
佛藏/乾隆藏/大乘五大部外重译经/六字神咒王经.md	六字神咒王经	/佛藏/乾隆藏/大乘五大部外重译经		9904	
佛藏/乾隆藏/大乘五大部外重译经/出生无边门陀罗尼经.md	出生无边门陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]不空	24770	cbeta:T1009|T1018;kanripo:KR6j0202/CBETA|KR6j0202/T|KR6j0202/TKD|KR6j0211/CBETA|KR6j0211/T|KR6j0211/TKD
佛藏/乾隆藏/大乘五大部外重译经/十一面神咒心经.md	十一面神咒心经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]玄奘	14549	
佛藏/乾隆藏/大乘五大部外重译经/十二佛名神咒校量功德除障灭罪经.md	十二佛名神咒校量功德除障灭罪经	/佛藏/乾隆藏/大乘五大部外重译经		10273	
佛藏/乾隆藏/大乘五大部外重译经/千手千眼观世音菩萨姥陀罗尼身经.md	千手千眼观世音菩萨姥陀罗尼身经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]菩提流志	35358	cbeta:T1058;kanripo:KR6j0258/CBETA|KR6j0258/T|KR6j0258/TKD
佛藏/乾隆藏/大乘五大部外重译经/千手千眼观世音菩萨广大圆满无碍大悲心陀罗尼经.md	千手千眼观世音菩萨广大圆满无碍大悲心陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]伽梵达摩	31781	cbeta:T1060;kanripo:KR6j0260/CBETA|KR6j0260/T
佛藏/乾隆藏/大乘五大部外重译经/千眼千臂观世音菩萨陀罗尼神咒经.md	千眼千臂观世音菩萨陀罗尼神咒经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]智通	31373	cbeta:JA005
佛藏/乾隆藏/大乘五大部外重译经/千转陀罗尼观世音菩萨咒经.md	千转陀罗尼观世音菩萨咒经	/佛藏/乾隆藏/大乘五大部外重译经		5315	
佛藏/乾隆藏/大乘五大部外重译经/华积陀罗尼神咒经.md	华积陀罗尼神咒经	/佛藏/乾隆藏/大乘五大部外重译经		4056	
佛藏/乾隆藏/大乘五大部外重译经/咒三首经.md	咒三首经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]地婆诃罗	1840	
佛藏/乾隆藏/大乘五大部外重译经/咒五首经.md	咒五首经	/佛藏/乾隆藏/大乘五大部外重译经		2669	
佛藏/乾隆藏/大乘五大部外重译经/善思童子经.md	善思童子经	/佛藏/乾隆藏/大乘五大部外重译经	[隋]阇那崛多	40219	cbeta:T0479;kanripo:KR6i0108/CBETA|KR6i0108/T|KR6i0108/TKD
佛藏/乾隆藏/大乘五大部外重译经/大乘大悲分陀利经.md	大乘大悲分陀利经	/佛藏/乾隆藏/大乘五大部外重译经		267721	
佛藏/乾隆藏/大乘五大部外重译经/大乘遍照光明藏无字法门经.md	大乘遍照光明藏无字法门经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]地婆诃罗	10096	cbeta:T0830;kanripo:KR6i0536/CBETA|KR6i0536/T|KR6i0536/TKD
